Transaction,items_list
219,['tartine']
220,"['bread', 'pastry']"
221,"['bread', 'scandinavian']"
222,['scandinavian']
223,"['alfajores', 'coffee']"
224,['coffee']
225,"['coffee', 'coke', 'soup']"
226,['cake']
227,"['tea', 'sandwich', 'soup']"
228,['coffee']
229,"['hearty & seasonal', 'bread']"
230,['alfajores']
231,['cake']
232,"['tea', 'bread']"
233,"['coffee', 'tea', 'bread', 'soup']"
234,['coffee']
235,['scandinavian']
236,['fudge']
237,"['coffee', 'sandwich']"
238,"['tea', 'bread', 'cookies', 'pastry']"
239,['muffin']
240,['scandinavian']
241,"['jam', 'tea']"
242,"['juice', 'tea', 'alfajores']"
243,"['cake', 'muffin', 'coffee', 'soup']"
244,"['hot chocolate', 'cake', 'coffee']"
245,"['cake', 'cookies']"
246,"['tea', 'bread']"
247,"['alfajores', 'coffee', 'juice']"
248,"['coffee', 'tea', 'soup']"
249,['hot chocolate']
250,['cookies']
251,"['coffee', 'medialuna']"
252,"['bread', 'eggs']"
253,['scandinavian']
254,['medialuna']
255,"['coffee', 'pastry']"
256,"['coffee', 'bread']"
257,"['bread', 'coffee', 'pastry']"
258,"['coffee', 'pastry']"
259,['pastry']
260,['coffee']
261,['coffee']
262,"['coffee', 'hot chocolate', 'pastry']"
263,['coke']
264,"['coffee', 'jam']"
265,['tea']
266,"['bread', 'pastry']"
267,"['coffee', 'alfajores', 'farm house']"
268,"['tea', 'pastry']"
269,['bread']
270,"['coffee', 'jam']"
271,"['coffee', 'tea', 'pastry']"
272,['farm house']
274,"['coffee', 'bread', 'pastry']"
275,['farm house']
276,"['coffee', 'pastry']"
277,['farm house']
278,"['coffee', 'pastry']"
279,['coffee']
280,"['coffee', 'pastry']"
281,['bread']
282,"['bread', 'coffee', 'pastry']"
283,"['pastry', 'coffee']"
284,"['coffee', 'farm house']"
285,"['farm house', 'pastry']"
286,"['bread', 'juice', 'alfajores']"
287,"['coffee', 'pastry']"
288,"['bread', 'alfajores']"
289,['bread']
290,"['coffee', 'cookies']"
291,['coffee']
292,['cookies']
293,['hearty & seasonal']
294,['coffee']
295,"['jam', 'tartine', 'bread']"
296,"['farm house', 'scandinavian']"
297,"['hearty & seasonal', 'coffee', 'muffin', 'scandinavian']"
298,"['tartine', 'pick and mix bowls', 'coffee', 'coke']"
299,['bread']
300,"['scandinavian', 'farm house', 'alfajores', 'coffee']"
301,"['juice', 'mineral water', 'soup']"
302,"['soup', 'tea']"
303,"['juice', 'tea', 'cookies', 'soup']"
304,"['hearty & seasonal', 'tea']"
305,['fudge']
306,"['coffee', 'mineral water', 'juice', 'soup']"
307,['hearty & seasonal']
308,"['hearty & seasonal', 'smoothies']"
309,"['hearty & seasonal', 'tea']"
310,"['coffee', 'sandwich']"
311,"['cookies', 'farm house']"
312,"['soup', 'tea', 'juice']"
313,['soup']
314,['coffee']
316,['bread']
317,"['cookies', 'tea']"
318,"['soup', 'hearty & seasonal', 'bread']"
319,['coffee']
320,['coffee']
321,"['coffee', 'tea']"
322,['bread']
323,['tea']
324,"['coffee', 'tea']"
325,['coffee']
326,['fudge']
327,['tea']
328,"['soup', 'tea']"
329,['juice']
330,['alfajores']
331,['bread']
332,"['coffee', 'alfajores']"
333,"['juice', 'alfajores', 'cookies', 'pick and mix bowls', 'mineral water']"
334,"['coffee', 'alfajores']"
335,['fudge']
336,"['mighty protein', 'juice']"
337,"['coffee', 'mineral water', 'alfajores']"
338,"['mighty protein', 'coffee']"
339,['alfajores']
340,"['coffee', 'bread']"
341,['medialuna']
342,"['medialuna', 'bread']"
343,['farm house']
344,"['coffee', 'pastry']"
345,['farm house']
346,"['coffee', 'pastry']"
347,['medialuna']
348,"['bread', 'tea', 'sandwich']"
349,['bread']
350,"['jam', 'coffee', 'farm house']"
351,['focaccia']
352,['bread']
353,"['tartine', 'pastry', 'bread', 'my-5 fruit shoot']"
354,"['farm house', 'pastry']"
355,"['bread', 'pastry']"
356,"['pastry', 'bread']"
357,"['jam', 'coffee']"
358,['farm house']
359,"['bread', 'pastry']"
360,"['coffee', 'tea', 'bread']"
361,['jam']
363,"['pastry', 'medialuna']"
364,['coffee']
365,['tea']
366,['bread']
367,"['bread', 'pastry']"
368,['pastry']
369,['farm house']
370,['tea']
371,"['coffee', 'brownie', 'alfajores', 'fudge']"
372,"['bread', 'fudge', 'cookies']"
373,['coffee']
374,['bread']
375,"['coffee', 'jam', 'pastry']"
376,"['soup', 'coffee']"
377,"['smoothies', 'soup', 'hearty & seasonal', 'pastry']"
378,"['pastry', 'bread']"
379,"['pastry', 'medialuna']"
380,"['tea', 'coffee']"
381,"['bread', 'cookies']"
382,"['coffee', 'bread', 'hearty & seasonal', 'pick and mix bowls', 'sandwich', 'focaccia']"
383,['coffee']
384,"['coffee', 'sandwich', 'brownie']"
385,"['brownie', 'cookies']"
386,['coffee']
387,['coffee']
388,"['sandwich', 'bread', 'coffee']"
389,"['coffee', 'hot chocolate']"
390,['tea']
391,"['sandwich', 'coffee', 'brownie']"
392,"['brownie', 'pastry', 'focaccia', 'farm house']"
393,"['cake', 'focaccia']"
394,"['soup', 'hearty & seasonal', 'mineral water']"
395,['hearty & seasonal']
396,['hearty & seasonal']
397,"['coffee', 'pastry']"
398,['coffee']
399,"['tea', 'cake']"
400,"['coffee', 'soup']"
401,"['bread', 'focaccia', 'fudge']"
402,"['hot chocolate', 'coffee', 'alfajores']"
403,"['brownie', 'pastry', 'cake']"
404,"['medialuna', 'alfajores', 'dulce de leche']"
405,"['dulce de leche', 'alfajores']"
406,"['bread', 'cake']"
407,"['cake', 'coffee']"
408,['bread']
409,['sandwich']
410,"['bread', 'coffee', 'alfajores', 'medialuna']"
411,['coffee']
412,"['bread', 'alfajores']"
413,"['tea', 'coffee']"
414,['bread']
415,['dulce de leche']
416,['farm house']
417,['fudge']
418,['coffee']
419,"['coffee', 'alfajores', 'juice', ""ella's kitchen pouches"", 'brownie']"
420,['alfajores']
421,"['alfajores', 'brownie', 'cookies', 'bread', 'juice']"
422,"['cake', 'cookies']"
423,['pick and mix bowls']
424,['coffee']
425,['farm house']
426,['tea']
427,['coffee']
428,"['focaccia', 'farm house']"
429,['dulce de leche']
430,"['juice', 'my-5 fruit shoot', ""ella's kitchen pouches"", 'cookies']"
431,['bread']
432,['hot chocolate']
433,['coffee']
435,['coffee']
436,['coffee']
437,['medialuna']
438,"['bread', 'tea', 'jam']"
439,['farm house']
440,['bread']
441,['coffee']
442,"['medialuna', 'coffee']"
443,['bread']
444,"['medialuna', 'pastry']"
445,"['coffee', 'jam']"
446,"['bread', 'coffee']"
447,['coffee']
448,['bread']
449,['hot chocolate']
450,"['bread', 'medialuna']"
451,"['bread', 'jam']"
452,"['jam', 'bread']"
453,"['coffee', 'bread']"
454,"['bread', 'farm house']"
455,"['bread', 'coffee']"
456,"['tea', 'pastry']"
457,['coffee']
458,['bread']
459,"['pastry', 'brownie']"
460,['farm house']
461,['coffee']
462,"['tea', 'coffee', 'honey', 'cookies']"
463,['tea']
464,['bread']
465,['brownie']
466,"['bread', 'coffee']"
467,['bread']
468,['coffee']
469,['tea']
470,['tea']
471,['coffee']
473,"['bread', 'coffee']"
474,['bread']
475,"['bread', 'the bart']"
476,"['coffee', 'brownie']"
477,['coffee']
478,"['coffee', 'brownie']"
479,"['mineral water', 'coffee', 'tartine']"
480,"['brownie', 'coffee']"
481,"['brownie', 'juice']"
482,"['coffee', 'bread', 'tea', 'alfajores', 'medialuna', 'pastry', 'jam']"
483,['bread']
484,['fudge']
485,"['coffee', 'pick and mix bowls']"
486,"['pastry', 'bread']"
487,"['soup', 'scandinavian', 'coffee', 'mineral water']"
488,"['juice', 'mineral water', 'sandwich', 'pick and mix bowls']"
489,"['bread', 'pastry']"
490,"['hearty & seasonal', 'coffee']"
491,"['bread', 'hearty & seasonal', 'coffee', 'mineral water']"
492,"['coffee', 'tartine', 'sandwich', 'brownie']"
493,"['coffee', 'brownie']"
494,"['alfajores', 'coffee', 'tartine']"
495,"['mighty protein', 'coffee']"
497,"['coffee', 'hot chocolate']"
498,"['soup', 'jam', 'coffee']"
499,"['mineral water', 'brownie']"
500,"['scandinavian', 'coffee']"
501,"['scandinavian', 'coffee']"
502,['coffee']
503,"['coffee', 'hot chocolate', 'brownie', 'hearty & seasonal']"
504,"['tea', 'cake']"
505,['medialuna']
506,"['alfajores', 'tea', 'coffee']"
507,"['coffee', 'juice', 'brownie', 'alfajores']"
508,"['coffee', 'sandwich']"
509,"['bread', 'soup']"
510,"['soup', 'bread']"
511,['bread']
512,"['tea', 'brownie', 'cookies']"
513,"['coffee', 'bread', 'brownie']"
514,['brownie']
515,"['cookies', 'bread', 'jam']"
516,['coffee']
517,"['tea', 'brownie']"
518,"['alfajores', 'medialuna', 'scandinavian']"
519,"['hot chocolate', 'coffee', 'alfajores', 'cookies']"
520,['brownie']
521,['fudge']
522,"['tea', 'brownie']"
523,"['dulce de leche', 'fudge']"
524,"['bread', 'scandinavian', 'fudge', 'granola', 'pastry', 'coffee']"
525,"['bread', 'fudge']"
526,"['hot chocolate', 'coffee', 'medialuna']"
527,['bread']
528,"['bread', 'medialuna']"
529,"['bread', 'coffee', 'medialuna', 'jam']"
530,"['jam', 'coffee', 'brownie']"
531,"['bread', 'coffee', 'jam']"
532,['scandinavian']
533,"['coffee', 'cookies']"
534,"['coffee', 'scandinavian']"
535,['bread']
536,['bread']
537,"['jam', 'brownie', 'coffee']"
538,['coffee']
539,"['brownie', 'hot chocolate']"
540,['bread']
541,"['bread', 'medialuna']"
542,"['coffee', 'hot chocolate', 'brownie']"
543,['scandinavian']
544,"['basket', 'bread']"
545,"['coffee', 'bread', 'brownie']"
546,"['cake', 'fudge']"
547,"['coffee', 'hot chocolate', 'basket']"
548,['scandinavian']
549,['scandinavian']
550,"['coffee', 'bread', 'cake', 'medialuna']"
551,"['coffee', 'medialuna']"
552,"['bread', 'pastry']"
553,"['bread', 'brownie']"
554,"['medialuna', 'farm house']"
555,"['bread', 'medialuna']"
556,"['brownie', 'medialuna', 'hot chocolate', 'smoothies', 'coffee']"
557,"['bread', 'tea', 'coffee', 'brownie', 'medialuna']"
558,"['medialuna', 'cookies']"
559,"['coffee', 'medialuna']"
560,"['bread', 'fudge']"
562,"['coffee', 'tea']"
563,"['coffee', 'cookies']"
564,"['pastry', 'bread', 'brownie']"
565,"['bread', 'coffee']"
566,"['coffee', 'tea']"
567,['bread']
568,"['medialuna', 'coffee']"
569,"['my-5 fruit shoot', 'coffee', 'brownie']"
570,"['coffee', 'fudge']"
571,['coffee']
572,"['coffee', 'basket']"
573,['farm house']
574,['farm house']
575,"['coffee', 'brownie']"
576,"['scandinavian', 'brownie', 'my-5 fruit shoot']"
577,"['tartine', 'coffee', 'hot chocolate', 'brownie']"
578,"['brownie', 'bread', 'hot chocolate']"
579,"['jam', 'fudge']"
580,['coffee']
581,['fudge']
583,"['mighty protein', 'hearty & seasonal', 'coffee', 'tea', 'cake']"
584,['coffee']
585,['scandinavian']
586,"['cake', 'victorian sponge', 'scandinavian']"
587,"['tea', 'cake']"
588,['coffee']
589,['coffee']
590,['bread']
591,['frittata']
592,"['coffee', 'my-5 fruit shoot', 'brownie']"
593,"['focaccia', 'fairy doors']"
594,"['tea', 'coffee']"
595,"['hot chocolate', 'hearty & seasonal', 'pick and mix bowls', 'brownie']"
596,"['frittata', 'coffee']"
597,"['bread', 'brownie']"
598,['frittata']
599,['scandinavian']
600,['bread']
601,['farm house']
602,"['pick and mix bowls', 'jam', 'soup', 'brownie']"
603,"['hearty & seasonal', 'coffee', 'tea']"
604,['bread']
605,"['bread', 'frittata']"
606,['scandinavian']
608,"['tartine', 'hot chocolate', 'coffee']"
609,"['coffee', 'mighty protein']"
610,"['frittata', 'coffee']"
611,['scandinavian']
612,"['hearty & seasonal', 'coffee', 'mineral water']"
613,['scandinavian']
615,"['bread', 'coffee']"
616,"['hearty & seasonal', 'soup', 'bread', 'coffee']"
617,"['brownie', 'cake', 'tea']"
618,"['mighty protein', 'coffee']"
620,"['coffee', 'tea', 'brownie', 'soup']"
621,['cake']
622,"['hot chocolate', 'coffee', 'cake']"
623,"['hearty & seasonal', 'coffee']"
624,['coffee']
625,"['frittata', 'coffee', 'brownie']"
626,"['sandwich', 'frittata', 'coke', 'mineral water', 'brownie']"
627,"['granola', 'scandinavian']"
628,"['coffee', 'coke']"
629,"['tea', 'brownie', 'cake']"
630,['fudge']
631,['coffee']
632,['brownie']
633,['cake']
634,['tea']
635,"['coffee', 'soup', 'sandwich', 'cake']"
636,"['coffee', 'bread', 'brownie']"
637,"['bread', 'coffee', 'brownie']"
638,"['coffee', 'bread', 'brownie']"
639,"['brownie', 'coffee']"
640,"['coffee', 'soup', 'brownie']"
641,['fudge']
642,"['bread', 'focaccia']"
643,"['bread', 'farm house', 'jam']"
644,"['hot chocolate', 'brownie']"
645,['hot chocolate']
646,"['coffee', 'brownie']"
647,"['medialuna', 'pastry']"
648,['bread']
650,"['coffee', 'pastry', 'bread']"
651,"['coffee', 'mineral water']"
652,"['pastry', 'bread', 'hot chocolate']"
653,['bread']
654,['bread']
655,"['jam', 'coffee', 'bread']"
656,"['coffee', 'pastry']"
657,"['medialuna', 'coffee', 'focaccia', 'hearty & seasonal']"
658,"['bread', 'farm house', 'coffee', 'jam']"
659,['farm house']
660,"['coffee', 'tea', 'pastry', 'medialuna']"
661,"['pastry', 'medialuna', 'coffee']"
662,"['coffee', 'hot chocolate', 'basket', 'farm house']"
663,"['pastry', 'farm house']"
664,"['hot chocolate', 'coffee', 'my-5 fruit shoot']"
665,"['pastry', 'medialuna', 'muffin']"
666,['farm house']
667,"['muffin', 'pastry', 'focaccia']"
668,"['coffee', 'tea']"
669,['bread']
670,['focaccia']
671,"['coffee', 'hot chocolate', 'pastry', 'jam']"
672,['bread']
673,"['coffee', 'pastry', 'bread']"
674,['tea']
675,"['hot chocolate', 'coffee', 'mineral water']"
676,['coffee']
677,['coffee']
678,"['jam', 'coffee']"
680,['muffin']
681,['bread']
682,['bread']
683,['bread']
684,"['muffin', 'hot chocolate', 'coffee']"
685,"['muffin', 'fudge']"
686,['bread']
687,['bread']
688,['farm house']
689,"['coffee', 'muffin']"
690,['focaccia']
691,"['bread', 'tea']"
692,"['coffee', 'hot chocolate']"
693,"['coffee', 'tartine', 'pick and mix bowls', 'jam']"
695,['jam']
696,['tartine']
697,"['bread', 'coffee']"
698,"['coffee', 'mineral water', 'juice', 'tartine', 'pick and mix bowls']"
699,"['bread', 'tea', 'juice']"
700,"['coffee', 'cake']"
701,['farm house']
702,['farm house']
703,"['cake', 'brownie', 'coffee']"
704,"['focaccia', 'coffee']"
705,"['tea', 'coffee', 'muffin']"
706,['coffee']
707,"['tea', 'coffee']"
708,"['hearty & seasonal', 'cake', 'coffee']"
709,"['bread', 'tea', 'cake']"
710,"['mighty protein', 'coffee']"
711,"['hot chocolate', 'muffin']"
712,"['coffee', 'soup', 'mighty protein']"
713,['jam']
714,"['coffee', 'alfajores']"
715,"['cake', 'hot chocolate', 'alfajores']"
716,"['hot chocolate', 'tea', 'muffin']"
717,['brownie']
718,"['cake', 'coffee']"
719,"['victorian sponge', 'alfajores', 'tea']"
720,['bread']
721,"['tartine', 'tea']"
722,"['mighty protein', 'tea']"
723,"['bread', 'fudge']"
724,"['medialuna', 'tartine', 'coffee']"
725,"['pastry', 'bread']"
726,"['pastry', 'bread']"
727,"['coffee', 'tea', 'alfajores']"
728,"['alfajores', 'coffee']"
729,"['coffee', 'alfajores']"
730,"['alfajores', 'pastry']"
732,['alfajores']
733,"['pastry', 'tea', 'alfajores', 'hearty & seasonal']"
734,"['tea', 'sandwich']"
735,"['empanadas', 'tea']"
736,"['alfajores', 'tea']"
737,['alfajores']
738,"['pastry', 'dulce de leche']"
739,"['coffee', 'pastry']"
740,"['farm house', 'coffee']"
741,"['bread', 'scandinavian', 'medialuna']"
742,['bread']
743,"['pastry', 'tea', 'alfajores']"
744,"['pastry', 'coffee']"
745,"['bread', 'pastry', 'muffin', 'farm house']"
746,"['medialuna', 'tea']"
747,['alfajores']
748,"['sandwich', 'tea']"
749,"['tea', 'bread']"
750,"['bread', 'coffee', 'pastry']"
751,"['coffee', 'muffin', 'alfajores', 'empanadas']"
752,['coffee']
753,['bread']
754,['coffee']
755,['coffee']
756,['bread']
757,"['bread', 'pastry', 'medialuna', 'tea']"
758,"['tea', 'bread']"
759,['muffin']
760,"['coffee', 'muffin']"
761,"['coffee', 'bread', 'pastry', 'medialuna']"
762,"['coffee', 'muffin']"
763,"['muffin', 'hot chocolate', 'scandinavian', 'bread']"
764,['farm house']
765,['muffin']
766,['coffee']
767,['bread']
768,"['coffee', 'cookies']"
769,['coffee']
770,['muffin']
771,"['coffee', 'tea', 'keeping it local']"
772,"['coffee', 'medialuna']"
773,['bread']
774,"['tartine', 'scandinavian']"
775,"['coffee', 'tea']"
776,['bread']
777,"['coffee', 'coke']"
778,"['coffee', 'muffin']"
779,"['coffee', 'bread', 'medialuna', 'muffin', 'scandinavian']"
780,['bread']
781,['coke']
782,"['bread', 'scandinavian']"
783,['coffee']
784,['bread']
785,"['scandinavian', 'bread']"
786,['fudge']
787,"['soup', 'hearty & seasonal', 'coffee']"
788,['coke']
789,"['coffee', 'cookies', 'tea']"
790,"['pastry', 'tea', 'coffee']"
791,['bread']
792,"['coffee', 'medialuna']"
793,"['coffee', 'muffin', 'sandwich', 'soup']"
794,"['tea', 'coffee', 'muffin']"
795,['alfajores']
796,['bread']
797,"['coffee', 'medialuna']"
798,['coffee']
799,['coffee']
800,['medialuna']
802,"['empanadas', 'bread', 'scandinavian']"
803,"['coffee', 'tartine']"
804,['tea']
805,['scandinavian']
806,['muffin']
807,"['scandinavian', 'bread']"
808,['bread']
809,['coffee']
810,['bread']
811,['bread']
812,['coffee']
813,"['cookies', 'scandinavian']"
814,"['coffee', 'bread', 'empanadas', 'medialuna']"
815,"['coffee', 'pastry']"
816,['bread']
817,"['pastry', 'tea']"
818,"['coffee', 'pastry']"
819,"['coffee', 'bread']"
820,"['coffee', 'keeping it local']"
821,['fudge']
822,"['tartine', 'coffee']"
824,"['hot chocolate', 'coffee', 'pastry', 'medialuna']"
825,"['alfajores', 'coffee']"
826,['coffee']
828,"['coffee', 'medialuna']"
829,['coke']
830,"['coffee', 'alfajores']"
831,['muffin']
832,"['farm house', 'brownie', 'fudge']"
833,['coffee']
834,"['tea', 'muffin', 'farm house']"
835,"['coffee', 'pastry']"
836,"['pastry', 'brownie']"
837,['medialuna']
838,['coffee']
839,"['pastry', 'coffee', 'juice']"
840,"['coffee', 'bread']"
841,"['tea', 'coffee']"
842,"['tea', 'alfajores']"
843,"['alfajores', 'coffee']"
844,['scandinavian']
845,"['pastry', 'medialuna']"
846,['brownie']
847,['farm house']
848,"['coffee', 'cookies']"
849,['soup']
850,"['art tray', 'coffee', 'brownie']"
851,['coffee']
852,['farm house']
853,"['soup', 'art tray', 'alfajores', 'frittata']"
854,"['sandwich', 'coffee']"
855,['tea']
856,['farm house']
857,"['scandinavian', 'muffin']"
858,['farm house']
859,['scandinavian']
860,['soup']
861,"['hearty & seasonal', 'tea', 'bread']"
862,['hot chocolate']
863,"['coffee', 'sandwich', 'hearty & seasonal']"
864,"['brownie', 'hearty & seasonal', 'sandwich', 'coffee']"
865,"['medialuna', 'coffee']"
866,"['coffee', 'brownie', 'soup']"
867,"['sandwich', 'alfajores', 'focaccia']"
868,"['farm house', 'tartine']"
869,['bread']
870,['coffee']
871,"['hot chocolate', 'tea', 'muffin']"
872,['pastry']
873,"['coffee', 'brownie', 'hearty & seasonal', 'soup', 'bowl nic pitt']"
874,['coffee']
875,"['alfajores', 'medialuna', 'scandinavian', 'farm house']"
876,"['soup', 'coffee']"
877,['tea']
878,"['coffee', 'tea', 'cookies']"
879,"['tea', 'muffin']"
880,"['coffee', 'brownie']"
881,['coffee']
882,['coffee']
883,['coffee']
884,['farm house']
885,"['coffee', 'bread pudding']"
886,"['coffee', 'medialuna']"
887,['hot chocolate']
888,"['coffee', 'hot chocolate', 'farm house']"
889,"['pastry', 'coffee']"
890,['bread']
891,"['pastry', 'coffee']"
892,['coffee']
893,"['coffee', 'pastry']"
894,['farm house']
895,['bread']
896,"['coffee', 'hot chocolate']"
897,['bread']
898,"['coffee', 'focaccia', 'medialuna', 'bread']"
899,['coffee']
900,"['bread', 'keeping it local']"
901,"['bread', 'coffee']"
902,['bread']
903,"['bread', 'medialuna']"
904,['coffee']
905,"['coffee', 'medialuna']"
906,"['coffee', 'cookies', 'tartine']"
907,"['tea', 'bread']"
908,"['bread', 'keeping it local', 'coffee']"
909,"['coffee', 'medialuna']"
910,"['coffee', 'medialuna']"
911,['tea']
912,"['juice', 'coke', 'soup']"
913,['bread']
914,['brownie']
915,"['brownie', 'bread', 'coffee']"
916,"['coffee', 'pastry', 'bread', 'hearty & seasonal']"
917,"['bread', 'coffee', 'brownie']"
918,['coffee']
919,"['bread', 'cookies']"
920,"['fudge', 'eggs']"
921,['bread']
922,"['bread', 'muffin']"
923,['soup']
924,"['coffee', 'bread pudding']"
925,"['bread', 'tartine']"
926,"['sandwich', 'coffee', 'fudge', 'jam', 'bread pudding']"
927,"['bread pudding', 'soup', 'coffee']"
928,"['hearty & seasonal', 'bread']"
929,"['coffee', 'cookies']"
